gene_name,L_15_1,L_15_2,L_16_1,L_16_2,L_13_1,L_13_2,L_11_2,L_11_1,L_12_1,L_12_2
Gnai3,6067.0,7787.0,8650.0,8778.0,7301.0,8024.0,9762.0,9092.0,7949.0,7116.0
Pbsn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cdc45,2297.0,2959.0,2695.0,2518.0,2959.0,3018.0,2604.0,2475.0,2801.0,2639.0
H19,26624.0,29761.0,33340.0,41728.0,21075.0,17155.0,11607.0,16403.0,13714.0,12892.0
Scml2,73.0,100.0,69.0,88.0,107.0,123.0,166.0,182.68,125.0,147.0
Apoh,23124.0,24959.0,39213.0,48944.0,4770.0,4898.0,209.0,187.0,1096.0,998.0
Narf,13129.0,15708.0,16367.0,17188.0,12497.0,13572.0,6763.0,6486.0,11789.0,11141.0
Cav2,215.0,276.0,313.0,301.0,204.0,264.0,162.0,189.0,229.0,208.0
Klf6,1195.0,1629.0,1526.0,1720.0,1394.0,1346.0,1139.0,1457.0,1522.0,1282.0
Scmh1,759.0,953.0,765.0,818.0,789.0,871.0,953.0,1304.0,1068.0,1006.0
Cox5a,3942.62,6105.6,5575.53,5794.62,7686.34,7186.78,5295.58,5616.43,6637.25,5754.24
Tbx2,58.0,61.0,23.0,37.0,30.0,28.0,172.0,219.0,107.0,123.0
Tbx4,1.0,2.0,1.0,1.0,6.0,4.0,42.0,52.0,9.0,27.0
Zfy2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ngfr,308.0,351.0,292.0,296.0,200.0,276.0,672.0,755.0,436.0,501.0
Wnt3,0.0,0.0,0.0,0.0,5.0,9.0,23.0,27.0,3.0,9.0
Wnt9a,31.0,24.0,26.0,40.0,24.0,39.0,48.0,36.0,28.0,41.0
Fer,620.0,842.0,770.0,810.0,874.0,1038.0,1303.0,1307.0,1278.0,994.0
Xpo6,1263.0,1417.0,1143.0,1409.0,1365.0,1540.0,2855.0,3023.0,3256.0,2929.0
Tfe3,952.0,1060.0,968.0,1263.0,839.0,879.0,772.0,898.0,1133.0,1117.0
Axin2,18.0,13.0,11.0,18.0,30.0,41.0,84.0,82.0,34.0,48.0
Brat1,699.0,899.0,877.0,996.0,872.0,806.0,1097.0,1070.0,1071.0,868.0
Gna12,1804.46,1815.57,236.51,322.05,792.54,534.17,1499.83,2034.57,3069.68,2836.02
Slc22a18,662.0,704.0,682.0,791.0,313.0,267.0,73.0,143.0,191.0,154.0
Itgb2l,512.0,574.0,621.0,853.0,73.0,42.0,37.0,15.0,40.0,35.0
Igsf5,152.0,137.63,205.0,255.0,75.0,84.0,21.98,15.04,42.0,43.03
Igsf5,152.0,137.63,205.0,255.0,75.0,84.0,21.98,15.04,42.0,43.03
Pih1d2,25.32,34.07,30.29,23.19,70.66,53.21,66.0,73.55,48.17,59.34
Dlat,2086.0,2951.0,2268.0,2663.0,3200.0,3744.0,4335.0,4365.0,3615.0,3506.0
Sdhd,10536.0,13025.0,13378.0,13845.0,13510.0,12745.0,10931.0,11210.0,10909.0,9852.0
Fgf23,0.0,1.0,0.0,0.0,0.0,0.0,4.0,10.0,1.0,1.0
Fgf6,7.0,3.0,5.0,1.0,4.0,2.0,0.0,7.0,0.0,0.0
